File,Line,Severity,Category,Issue,Fix,Effort
AWeberAdapter.ts,30,CRITICAL,Error Handling,addSubscriber() missing res.ok check,Add if (!res.ok) with error details,5min
AWeberAdapter.ts,7,CRITICAL,Input Validation,createList(name) no input validation,Add string validation/sanitization,10min
AWeberAdapter.ts,7,HIGH,Timeout,No timeout configuration,Add AbortController with 10s timeout,10min
ConstantContactAdapter.ts,27,CRITICAL,Error Handling,addSubscriber() missing res.ok check,Add if (!res.ok) with error details,5min
ConstantContactAdapter.ts,7,CRITICAL,Input Validation,createList(name) no input validation,Add string validation/sanitization,10min
ConstantContactAdapter.ts,7,HIGH,Timeout,No timeout configuration,Add AbortController with 10s timeout,10min
MailchimpAdapter.ts,35,CRITICAL,Error Handling,addSubscriber() missing res.ok check,Add if (!res.ok) with error details,5min
MailchimpAdapter.ts,7,CRITICAL,Input Validation,createList(name) no input validation,Add string validation/sanitization,10min
MailchimpAdapter.ts,7,HIGH,Timeout,No timeout configuration,Add AbortController with 10s timeout,10min
InstagramAdapter.ts,28,CRITICAL,Error Handling,publish step missing error handling,Add res.ok check and error details,10min
InstagramAdapter.ts,6,CRITICAL,Type Safety,input: any type,Define proper input interface,20min
InstagramAdapter.ts,6,HIGH,Timeout,No timeout configuration,Add AbortController with 30s timeout,10min
PinterestAdapter.ts,25,CRITICAL,Error Handling,Generic error without details,Include response body in error,5min
PinterestAdapter.ts,6,CRITICAL,Type Safety,input: any type,Define proper input interface,20min
PinterestAdapter.ts,6,HIGH,Timeout,No timeout configuration,Add AbortController with 15s timeout,10min
SoundCloudAdapter.ts,6,CRITICAL,Error Handling,Missing response validation,Add if (!res.ok) check,5min
SoundCloudAdapter.ts,6,CRITICAL,Type Safety,input: any type,Define proper input interface,20min
SoundCloudAdapter.ts,6,HIGH,Timeout,No timeout configuration,Add AbortController with 60s timeout,10min
VimeoAdapter.ts,6,CRITICAL,Error Handling,Missing response validation,Add if (!res.ok) check,5min
VimeoAdapter.ts,6,CRITICAL,Type Safety,metadata: any type,Define proper metadata interface,20min
VimeoAdapter.ts,6,HIGH,Timeout,No timeout configuration,Add AbortController with 15s timeout,10min
YouTubeAdapter.ts,6,CRITICAL,Error Handling,Generic error message,Include API error details,10min
YouTubeAdapter.ts,6,CRITICAL,Type Safety,metadata: any type,Define proper metadata interface,20min
YouTubeAdapter.ts,6,HIGH,Timeout,No timeout configuration,Add AbortController with 15s timeout,10min
VercelAdapter.ts,6,CRITICAL,Error Handling,Generic error message,Include response body in error,10min
VercelAdapter.ts,6,HIGH,Timeout,No timeout configuration,Add AbortController with 30s timeout,10min
control-plane/facebook/FacebookAdapter.ts,6,CRITICAL,Error Handling,Generic error message,Include error details,10min
control-plane/facebook/FacebookAdapter.ts,6,HIGH,Timeout,No timeout configuration,Add AbortController with 30s timeout,10min
OpenAIImageAdapter.ts,111,CRITICAL,Security,Error may expose API key info,Sanitize error messages,15min
OpenAIImageAdapter.ts,71,CRITICAL,Input Validation,No prompt injection protection,Add input sanitization,20min
OpenAIImageAdapter.ts,92,HIGH,Timeout,No timeout on generation,Add 120s AbortController timeout,10min
StabilityImageAdapter.ts,117,CRITICAL,Security,Error may expose API key info,Sanitize error messages,15min
StabilityImageAdapter.ts,71,CRITICAL,Input Validation,No prompt injection protection,Add input sanitization,20min
StabilityImageAdapter.ts,106,HIGH,Timeout,No timeout on generation,Add 180s AbortController timeout,10min
LinkedInAdapter.ts (control-plane),83,HIGH,Timeout,No timeout on API calls,Add 30s AbortController timeout,10min
GbpAdapter.ts,241,CRITICAL,Type Safety,Uses any type for mybusiness API,Add proper typing or interfaces,30min
GbpAdapter.ts,196,HIGH,Timeout,No timeout on API calls,Add 30s timeout wrapper,10min
TikTokAdapter.ts,182,HIGH,Timeout,Missing timeout on upload init,Add AbortController with 60s timeout,10min
AmazonAdapter.ts,226,CRITICAL,Security,Error may contain signed headers,Sanitize error messages,15min
AmazonAdapter.ts,191,HIGH,Timeout,No timeout on PAAPI calls,Add 15s AbortController timeout,10min
CJAdapter.ts,115,CRITICAL,Security,Error includes full response,Sanitize error messages,15min
CJAdapter.ts,105,HIGH,Timeout,No timeout on GraphQL calls,Add 30s AbortController timeout,10min
ImpactAdapter.ts,110,CRITICAL,Security,Error includes full response,Sanitize error messages,15min
ImpactAdapter.ts,104,HIGH,Timeout,No timeout on REST calls,Add 30s AbortController timeout,10min
AhrefsAdapter.ts,56,CRITICAL,Security,Error includes request URL with token,Remove token from logged URLs,10min
AhrefsAdapter.ts,47,HIGH,Timeout,No timeout on API calls,Add 30s AbortController timeout,10min
PaaAdapter.ts,95,CRITICAL,Security,API key in URL query param,Move to Authorization header,15min
PaaAdapter.ts,86,HIGH,Timeout,No timeout on SerpApi calls,Add 30s AbortController timeout,10min
PaaAdapter.ts,193,HIGH,Timeout,No timeout on DataForSEO calls,Add 30s AbortController timeout,10min
FacebookAdapter.ts (api),29,MEDIUM,Configuration,Hardcoded API version v19.0,Make version configurable,30min
InstagramAdapter.ts,9,MEDIUM,Configuration,Hardcoded API version v19.0,Make version configurable,30min
LinkedInAdapter.ts (api),32,MEDIUM,Configuration,Hardcoded API version v2,Make version configurable,30min
PinterestAdapter.ts,7,MEDIUM,Configuration,Hardcoded API version v5,Make version configurable,30min
TikTokAdapter.ts,40,MEDIUM,Configuration,Hardcoded API version v2,Make version configurable,30min
OpenAIImageAdapter.ts,58,MEDIUM,Configuration,Hardcoded API version v1,Make version configurable,30min
StabilityImageAdapter.ts,58,MEDIUM,Configuration,Beta API version v2beta,Monitor for stable release,15min
